suj,sample_size,perc_trials,bin,itc
10sub027,n=10,050 %,b5,0.141017496711228
10sub008,n=10,050 %,b1,0.0892838232686409
10sub008,n=10,050 %,b2,0.0829277894599171
10sub008,n=10,050 %,b3,0.0842071218376236
10sub008,n=10,050 %,b4,0.0831580084575933
10sub008,n=10,050 %,b5,0.0775782300186885
10sub014,n=10,050 %,b1,0.106005754254954
10sub014,n=10,050 %,b2,0.108841618338104
10sub014,n=10,050 %,b3,0.112270528821007
10sub014,n=10,050 %,b4,0.110129999397732
10sub014,n=10,050 %,b5,0.104428654159753
10sub022,n=10,050 %,b1,0.125981407064731
10sub022,n=10,050 %,b2,0.12334218413868
10sub022,n=10,050 %,b3,0.123335905921823
10sub022,n=10,050 %,b4,0.121488992312934
10sub022,n=10,050 %,b5,0.121978853685065
10sub019,n=10,050 %,b1,0.105292249121151
10sub019,n=10,050 %,b2,0.107369409767023
10sub019,n=10,050 %,b3,0.103281096217284
10sub019,n=10,050 %,b4,0.108350366848859
10sub019,n=10,050 %,b5,0.100442974463642
10sub015,n=10,050 %,b1,0.0921165752896331
10sub015,n=10,050 %,b2,0.0880922161891042
10sub015,n=10,050 %,b3,0.0910343418737491
10sub015,n=10,050 %,b4,0.0922560681699975
10sub015,n=10,050 %,b5,0.0878328191508338
10sub021,n=10,060 %,b1,0.0772605442816104
10sub021,n=10,060 %,b2,0.0620939963142357
10sub021,n=10,060 %,b3,0.0661733698210277
10sub021,n=10,060 %,b4,0.0667094171298704
10sub021,n=10,060 %,b5,0.0636036532761402
10sub025,n=10,060 %,b1,0.0864920434196724
10sub025,n=10,060 %,b2,0.0871961094549167
10sub025,n=10,060 %,b3,0.0761647398560162
10sub025,n=10,060 %,b4,0.0828546157865285
10sub025,n=10,060 %,b5,0.0825441578390764
10sub034,n=10,060 %,b1,0.109228116127106
10sub034,n=10,060 %,b2,0.104420940868924
10sub034,n=10,060 %,b3,0.0982189050674188
10sub034,n=10,060 %,b4,0.0980706501639217
10sub034,n=10,060 %,b5,0.0930357696878107
10sub035,n=10,060 %,b1,0.0973808651086147
10sub035,n=10,060 %,b2,0.0897966762408546
10sub035,n=10,060 %,b3,0.0860264042284102
10sub035,n=10,060 %,b4,0.090560614792461
10sub035,n=10,060 %,b5,0.0918271358464977
10sub027,n=10,060 %,b1,0.146297487914169
10sub027,n=10,060 %,b2,0.145337962430733
10sub027,n=10,060 %,b3,0.144126044537268
10sub027,n=10,060 %,b4,0.143837678787925
10sub027,n=10,060 %,b5,0.142979298174622
10sub008,n=10,060 %,b1,0.0900418013224984
10sub008,n=10,060 %,b2,0.0786216196970464
10sub008,n=10,060 %,b3,0.0820116710447636
10sub008,n=10,060 %,b4,0.0848186026951545
10sub008,n=10,060 %,b5,0.0775472729941618
10sub014,n=10,060 %,b1,0.10430035235576
10sub014,n=10,060 %,b2,0.107168456702186
10sub014,n=10,060 %,b3,0.106723530833452
10sub014,n=10,060 %,b4,0.108110784856287
10sub014,n=10,060 %,b5,0.102076316879699
10sub022,n=10,060 %,b1,0.123881280853939
10sub022,n=10,060 %,b2,0.124017296744132
10sub022,n=10,060 %,b3,0.125251444251253
10sub022,n=10,060 %,b4,0.121842674619217
10sub022,n=10,060 %,b5,0.123759050244858
10sub019,n=10,060 %,b1,0.106693452085999
10sub019,n=10,060 %,b2,0.10775115799176
10sub019,n=10,060 %,b3,0.106841873161617
10sub019,n=10,060 %,b4,0.109267297042448
10sub019,n=10,060 %,b5,0.102156208213774
10sub015,n=10,060 %,b1,0.0920780868780032
10sub015,n=10,060 %,b2,0.0864075555892874
10sub015,n=10,060 %,b3,0.0927070202670789
10sub015,n=10,060 %,b4,0.091307797081351
10sub015,n=10,060 %,b5,0.0899587417491232
10sub021,n=10,070 %,b1,0.077016867372495
10sub021,n=10,070 %,b2,0.06572429979228
10sub021,n=10,070 %,b3,0.0641214932579857
10sub021,n=10,070 %,b4,0.0643500690736205
10sub021,n=10,070 %,b5,0.0649729999051828
10sub025,n=10,070 %,b1,0.0893419951851823
10sub025,n=10,070 %,b2,0.0884177139011157
10sub025,n=10,070 %,b3,0.0778744354014536
10sub025,n=10,070 %,b4,0.0829622704301937
10sub025,n=10,070 %,b5,0.0835667153638676
10sub034,n=10,070 %,b1,0.106519270625653
10sub034,n=10,070 %,b2,0.105007039929384
10sub034,n=10,070 %,b3,0.100323805186724
10sub034,n=10,070 %,b4,0.0963993256348442
10sub034,n=10,070 %,b5,0.0936309618146727
10sub035,n=10,070 %,b1,0.0964263526190854
