sub,eye,bin,perc,rt
sub028,open,b1,0.87719298245614,0.800409090909091
sub028,open,b2,0.789473684210526,0.797470238095238
sub028,open,b3,0.736842105263158,0.879270833333333
sub028,open,b4,0.807017543859649,0.832113095238095
sub028,open,b5,0.754385964912281,0.857257575757576
sub028,closed,b1,0.803571428571429,0.864393939393939
sub028,closed,b2,0.767857142857143,0.827746913580247
sub028,closed,b3,0.732142857142857,0.862138364779874
sub028,closed,b4,0.803571428571429,0.855231481481481
sub028,closed,b5,0.678571428571429,0.871714743589744
sub029,open,b1,0.824561403508772,0.816532738095238
sub029,open,b2,0.754385964912281,0.892178362573099
sub029,open,b3,0.754385964912281,0.820817901234568
sub029,open,b4,0.701754385964912,0.825106060606061
sub029,open,b5,0.859649122807018,0.829605263157895
sub029,closed,b1,0.620689655172414,0.964131944444444
sub029,closed,b2,0.758620689655172,0.92320987654321
sub029,closed,b3,0.637931034482759,0.945691823899371
sub029,closed,b4,0.568965517241379,0.882287581699346
sub029,closed,b5,0.637931034482759,0.876362179487179
sub030,open,b1,0.766666666666667,0.640991379310345
sub030,open,b2,0.8,0.647847222222222
sub030,open,b3,0.833333333333333,0.661055555555556
sub030,open,b4,0.666666666666667,0.619655172413793
sub030,open,b5,0.733333333333333,0.656016949152542
sub030,closed,b1,0.827586206896552,0.643991228070175
sub030,closed,b2,0.844827586206897,0.630186781609196
sub030,closed,b3,0.793103448275862,0.657514367816092
sub030,closed,b4,0.827586206896552,0.661063218390805
sub030,closed,b5,0.724137931034483,0.627068965517241
sub031,open,b1,0.584905660377358,0.65676282051282
sub031,open,b2,0.716981132075472,0.764701257861635
sub031,open,b3,0.641509433962264,0.734807692307692
sub031,open,b4,0.830188679245283,0.715927672955975
sub031,open,b5,0.69811320754717,0.716383647798742
sub031,closed,b1,0.596153846153846,0.765408496732026
sub031,closed,b2,0.519230769230769,0.811347517730497
sub031,closed,b3,0.576923076923077,0.785533333333333
sub031,closed,b4,0.730769230769231,0.752644230769231
sub031,closed,b5,0.711538461538462,0.824362745098039
sub032,open,b1,0.610169491525424,0.70725988700565
sub032,open,b2,0.508474576271186,0.687175141242938
sub032,open,b3,0.711864406779661,0.685497076023392
sub032,open,b4,0.525423728813559,0.667758620689655
sub032,open,b5,0.711864406779661,0.672302259887006
sub032,closed,b1,0.537037037037037,0.655941358024691
sub032,closed,b2,0.740740740740741,0.622422839506173
sub032,closed,b3,0.740740740740741,0.697530864197531
