suj,win,bin,rt,corr,band,pow_alpha,pow_beta,pow_theta,pow_gamma,avg_alpha,avg_beta,avg_theta,avg_gamma,norm_alpha,norm_beta,norm_theta,norm_gamma
sub020,preGab2,b3,0.850198030471802,0.935064935064935,gamma,1.4034994594793e-26,8.34404717510926e-28,1.55030950667785e-27,3.32722446073166e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,1.05790377510689,0.995976938719063,0.876064298557968,0.953218351102895
sub020,preGab2,b4,0.81087589263916,0.922077922077922,gamma,1.34225495090529e-26,8.66487769441773e-28,1.77776094218171e-27,3.96540872194373e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,1.011740026067,1.03427247945159,1.00459481549177,1.1360521082936
sub020,preGab2,b5,0.890923976898193,0.909090909090909,gamma,1.25557609290174e-26,8.92351272066728e-28,2.12984833694303e-27,5.37581723080933e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,0.946404845148639,1.06514413157479,1.20355585855707,1.54012081152341
sub021,preCue1,b1,0.935247540473938,0.842857142857143,alpha,2.03043809612685e-27,3.45130519698026e-28,3.12879777195445e-27,6.92001841497e-29,6.82651929816559e-27,7.64840096675895e-28,4.62768278255171e-27,1.57926606470002e-28,0.297433876246781,0.451245327223315,0.676104633565489,0.438179390391982
sub021,preCue1,b2,0.931057572364807,0.842857142857143,alpha,4.3399676650146e-27,5.93001843479035e-28,4.31688214501393e-27,1.22925693077522e-28,6.82651929816559e-27,7.64840096675895e-28,4.62768278255171e-27,1.57926606470002e-28,0.635751175006687,0.775327870565765,0.932838819741571,0.77837228206934
sub021,preCue1,b3,0.874702453613281,0.9,alpha,6.19515064240956e-27,6.29648227846712e-28,4.84621699898256e-27,1.61290225774955e-28,6.82651929816559e-27,7.64840096675895e-28,4.62768278255171e-27,1.57926606470002e-28,0.90751236051941,0.82324165610989,1.04722324902104,1.02129862332976
sub021,preCue1,b4,0.960886001586914,0.842857142857143,alpha,8.58500125617209e-27,1.01954925719963e-27,5.16296994788964e-27,1.93319337324913e-28,6.82651929816559e-27,7.64840096675895e-28,4.62768278255171e-27,1.57926606470002e-28,1.25759569133263,1.33302276074533,1.11567066942362,1.22410872775661
sub021,preCue1,b5,0.971313118934631,0.871428571428571,alpha,1.29820388311049e-26,1.23687063515607e-27,5.68354704891799e-27,2.42897592022921e-28,6.82651929816559e-27,7.64840096675895e-28,4.62768278255171e-27,1.57926606470002e-28,1.90170689689449,1.6171623853557,1.22816262824827,1.53804097645231
sub021,preCue1,b1,0.958466529846191,0.842857142857143,beta,4.19163603330702e-27,1.213173982338e-28,3.10649398130306e-27,4.91239981585363e-29,6.78875295486087e-27,7.82347936769577e-28,4.6138795622686e-27,1.59605663330226e-28,0.617438292596246,0.155068343037673,0.673293253405952,0.30778355312429
sub021,preCue1,b2,0.908918976783752,0.842857142857143,beta,6.30455641519126e-27,2.15982942843581e-28,3.75937118465346e-27,5.43972719991258e-29,6.78875295486087e-27,7.82347936769577e-28,4.6138795622686e-27,1.59605663330226e-28,0.928676659338014,0.276070189096944,0.814796124154791,0.340822943648165
sub021,preCue1,b3,0.98539400100708,0.9,beta,7.02081724917371e-27,3.40943911201266e-28,4.28546232423752e-27,1.06662488885867e-28,6.78875295486087e-27,7.82347936769577e-28,4.6138795622686e-27,1.59605663330226e-28,1.03418364106867,0.435795756820259,0.928819720237864,0.668287620002438
sub021,preCue1,b4,0.998000979423523,0.8,beta,7.57839792826956e-27,7.33305097110705e-28,6.19044374902536e-27,2.42405552525601e-28,6.78875295486087e-27,7.82347936769577e-28,4.6138795622686e-27,1.59605663330226e-28,1.11631664587872,0.937313262611292,1.34170033384694,1.51877788962952
sub021,preCue1,b5,0.869387984275818,0.9,beta,8.8483571483628e-27,2.50019033445853e-27,5.72762657212361e-27,3.45439005082002e-28,6.78875295486087e-27,7.82347936769577e-28,4.6138795622686e-27,1.59605663330226e-28,1.30338476111835,3.19575244843383,1.24139056835445,2.16432799359559
sub021,preCue1,b1,0.924803972244263,0.871428571428571,theta,4.80564139791796e-27,4.36196929523372e-28,1.53301950049977e-27,7.72980120683952e-29,6.86596514267264e-27,7.81282281106566e-28,4.64020907419495e-27,1.5908130611763e-28,0.699922195650314,0.558309000564516,0.330377247229047,0.485902548544822
