sub,eye,corr,rt,roi,hemi,pow
sub022,close,incorrect,all,visual,left,-0.0921937525994992
sub022,close,incorrect,fast,visual,right,-0.204542302833081
sub022,close,incorrect,slow,visual,right,-0.117795680121725
sub022,close,incorrect,all,visual,right,-0.146004551299559
sub022,close,correct,fast,visual,left,0.283937269636036
sub022,close,correct,slow,visual,left,0.14203967208094
sub022,close,correct,all,visual,left,0.208293291140741
sub022,close,correct,fast,visual,right,-0.0754768905722397
sub022,close,correct,slow,visual,right,0.0748028036034438
sub022,close,correct,all,visual,right,5.9838839237093e-05
sub023,open,incorrect,fast,visual,left,-0.138975865606763
sub023,open,incorrect,slow,visual,left,0.201178487918329
sub023,open,incorrect,all,visual,left,0.0273606669225658
sub023,open,incorrect,fast,visual,right,-0.265435062933123
sub023,open,incorrect,slow,visual,right,-0.00949354416469609
sub023,open,incorrect,all,visual,right,-0.119068803304721
sub023,open,correct,fast,visual,left,1.07449042812245
sub023,open,correct,slow,visual,left,0.356136910902061
sub023,open,correct,all,visual,left,0.703533625908241
sub023,open,correct,fast,visual,right,0.319329209737747
sub023,open,correct,slow,visual,right,0.0912278789659659
sub023,open,correct,all,visual,right,0.184291008484078
sub023,close,incorrect,fast,visual,left,-0.155845432628585
sub023,close,incorrect,slow,visual,left,0.112169493760621
sub023,close,incorrect,all,visual,left,-0.0252454990349259
sub023,close,incorrect,fast,visual,right,0.032728321749315
sub023,close,incorrect,slow,visual,right,-0.460079180064714
sub023,close,incorrect,all,visual,right,-0.258497312948954
sub023,close,correct,fast,visual,left,0.238165264249173
sub023,close,correct,slow,visual,left,0.201985920553051
sub023,close,correct,all,visual,left,0.217897360052358
sub023,close,correct,fast,visual,right,0.0410823171678315
sub023,close,correct,slow,visual,right,-0.102666833325607
sub023,close,correct,all,visual,right,-0.0300220105706421
sub024,open,incorrect,fast,visual,left,0.612404645371344
sub024,open,incorrect,slow,visual,left,1.62403836920266
sub024,open,incorrect,all,visual,left,0.974866609871305
sub024,open,incorrect,fast,visual,right,0.614936003846143
sub024,open,incorrect,slow,visual,right,0.885018764224143
sub024,open,incorrect,all,visual,right,0.763165007200589
sub024,open,correct,fast,visual,left,1.18658891278467
sub024,open,correct,slow,visual,left,0.990240720602997
sub024,open,correct,all,visual,left,1.08132174708273
sub024,open,correct,fast,visual,right,1.2971390568986
sub024,open,correct,slow,visual,right,0.812181665860205
sub024,open,correct,all,visual,right,1.02373109697209
sub024,close,incorrect,fast,visual,left,-0.208013689938942
sub024,close,incorrect,slow,visual,left,0.118566278922356
sub024,close,incorrect,all,visual,left,-0.122055835841179
sub024,close,incorrect,fast,visual,right,0.204420619640412
sub024,close,incorrect,slow,visual,right,0.403256647723587
sub024,close,incorrect,all,visual,right,0.258780887539609
sub024,close,correct,fast,visual,left,0.112994250665878
sub024,close,correct,slow,visual,left,0.0525737851604185
sub024,close,correct,all,visual,left,0.0814266219476645
sub024,close,correct,fast,visual,right,-0.0112878842965872
sub024,close,correct,slow,visual,right,0.183396407803104
sub024,close,correct,all,visual,right,0.0745368633655816
sub025,open,incorrect,fast,visual,left,0.543124051746974
sub025,open,incorrect,slow,visual,left,0.14221505935948
sub025,open,incorrect,all,visual,left,0.32005289554242
sub025,open,incorrect,fast,visual,right,0.637569645489525
sub025,open,incorrect,slow,visual,right,0.2186799743419
sub025,open,incorrect,all,visual,right,0.399260878567004
sub025,open,correct,fast,visual,left,0.342765513762009
sub025,open,correct,slow,visual,left,0.902476290203344
sub025,open,correct,all,visual,left,0.55869238677965
sub025,open,correct,fast,visual,right,0.565403577160164
sub025,open,correct,slow,visual,right,0.0657488586767608
sub025,open,correct,all,visual,right,0.295621072598384
sub025,close,incorrect,fast,visual,left,-0.0986609005437491
sub025,close,incorrect,slow,visual,left,0.185040388354569
sub025,close,incorrect,all,visual,left,0.0350305200580322
sub025,close,incorrect,fast,visual,right,0.590386896622086
sub025,close,incorrect,slow,visual,right,0.372516025756923
sub025,close,incorrect,all,visual,right,0.484464716817762
sub025,close,correct,fast,visual,left,0.383448013608818
sub025,close,correct,slow,visual,left,0.271829728328172
sub025,close,correct,all,visual,left,0.325848232943679
sub025,close,correct,fast,visual,right,0.543134312366486
sub025,close,correct,slow,visual,right,0.251521210577084
sub025,close,correct,all,visual,right,0.387221316018534
sub026,open,incorrect,fast,visual,left,0.211599265326671
sub026,open,incorrect,slow,visual,left,0.469101434570651
sub026,open,incorrect,all,visual,left,0.328174500958532
sub026,open,incorrect,fast,visual,right,0.468918502537578
sub026,open,incorrect,slow,visual,right,0.200986104506377
sub026,open,incorrect,all,visual,right,0.337040542206622
sub026,open,correct,fast,visual,left,0.231748707864556
sub026,open,correct,slow,visual,left,0.143956426995631
sub026,open,correct,all,visual,left,0.193681973328587
sub026,open,correct,fast,visual,right,0.302902800569446
sub026,open,correct,slow,visual,right,0.19282551552786
sub026,open,correct,all,visual,right,0.258556376447988
sub026,close,incorrect,fast,visual,left,-0.223842228395645
sub026,close,incorrect,slow,visual,left,-0.381767064293307
sub026,close,incorrect,all,visual,left,-0.312898529016897
sub026,close,incorrect,fast,visual,right,-0.295099496667793
sub026,close,incorrect,slow,visual,right,0.386166613759293
sub026,close,incorrect,all,visual,right,0.0248554532884939
sub026,close,correct,fast,visual,left,-0.196991529028925
sub026,close,correct,slow,visual,left,-0.227843613933025
sub026,close,correct,all,visual,left,-0.213336925609692
sub026,close,correct,fast,visual,right,0.01322655233717
sub026,close,correct,slow,visual,right,-0.251584287701084
sub026,close,correct,all,visual,right,-0.121449451300774
sub027,open,incorrect,fast,visual,left,1.44106125997758
sub027,open,incorrect,slow,visual,left,-0.0532608407720388
sub027,open,incorrect,all,visual,left,0.557044151042436
sub027,open,incorrect,fast,visual,right,1.40015844952599
sub027,open,incorrect,slow,visual,right,-0.204604872622837
sub027,open,incorrect,all,visual,right,0.317764410048786
sub027,open,correct,fast,visual,left,0.649128079025674
sub027,open,correct,slow,visual,left,0.177958271285603
sub027,open,correct,all,visual,left,0.364339994016867
sub027,open,correct,fast,visual,right,0.257522079926722
sub027,open,correct,slow,visual,right,0.358620465474808
sub027,open,correct,all,visual,right,0.305124587291245
sub027,close,incorrect,fast,visual,left,0.527646855752473
sub027,close,incorrect,slow,visual,left,-0.0546350602515992
sub027,close,incorrect,all,visual,left,0.212424975418657
sub027,close,incorrect,fast,visual,right,0.169814885166451
sub027,close,incorrect,slow,visual,right,0.390458945390631
sub027,close,incorrect,all,visual,right,0.273294236875537
sub027,close,correct,fast,visual,left,0.150427633084623
sub027,close,correct,slow,visual,left,0.15695282370345
sub027,close,correct,all,visual,left,0.16543766477262
sub027,close,correct,fast,visual,right,0.101228926922886
sub027,close,correct,slow,visual,right,0.208663690460808
sub027,close,correct,all,visual,right,0.164030878830982
sub028,open,incorrect,fast,visual,left,-0.0438337380104164
